127.0.0.1 - - [18/Jun/2018:21:34:08 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:51:30 -0300] "GET /DashboardSpringMVC/ControleAcesso/Salvar?usuario=root&3=on&2=on&1=on HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:51:34 -0300] "GET /DashboardSpringMVC/ControleAcesso/Consulta?mensagem=sucesso HTTP/1.1" 200 29253
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:51:57 -0300] "GET /DashboardSpringMVC/Produto/Consulta HTTP/1.1" 200 27948
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:51:57 -0300] "GET /AreaAdministrativa/assets/global/plugins/datatables/datatables.min.css HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:51:57 -0300] "GET /AreaAdministrativa/assets/global/plugins/datatables/plugins/bootstrap/datatables.bootstrap.css HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:51:57 -0300] "GET /AreaAdministrativa/assets/global/plugins/bootstrap-datepicker/css/bootstrap-datepicker3.min.css HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:51:58 -0300] "GET /AreaAdministrativa/assets/global/scripts/datatable.js HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:51:58 -0300] "GET /AreaAdministrativa/assets/global/plugins/datatables/datatables.min.js HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:51:58 -0300] "GET /AreaAdministrativa/assets/global/plugins/datatables/plugins/bootstrap/datatables.bootstrap.js HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:51:58 -0300] "GET /AreaAdministrativa/assets/global/plugins/bootstrap-datepicker/js/bootstrap-datepicker.min.js HTTP/1.1" 404 1135
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:51:58 -0300] "GET /AreaAdministrativa/assets/pages/scripts/table-datatables-buttons.min.js HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:51:59 -0300] "GET /AreaAdministrativa/assets/global/scripts/datatable.js HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:52:00 -0300] "GET /AreaAdministrativa/assets/global/plugins/datatables/datatables.min.js HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:52:00 -0300] "GET /AreaAdministrativa/assets/global/plugins/datatables/plugins/bootstrap/datatables.bootstrap.js HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:52:00 -0300] "GET /AreaAdministrativa/assets/global/plugins/bootstrap-datepicker/js/bootstrap-datepicker.min.js HTTP/1.1" 404 1135
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:52:00 -0300] "GET /AreaAdministrativa/assets/pages/scripts/table-datatables-buttons.min.js HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:52:00 -0300] "GET /DashboardSpringMVC/Produto/favicon.ico HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [18/Jun/2018:21:53:41 -0300] "GET /DashboardSpringMVC/Produto/Consulta HTTP/1.1" 200 27896
